date,foreign_stock_net
2024-07-01,-8473173500.0
2024-07-02,50314364500.0
2024-07-03,30691151000.0
2024-07-04,-221086109000.0
2024-07-05,-31890117000.0
2024-07-08,2760774500.0
2024-07-09,44525326500.0
2024-07-10,29784822500.0
2024-07-11,13647205000.0
2024-07-12,-187668572000.0
2024-07-15,38881706500.0
2024-07-16,90683245000.0
2024-07-17,-407337767500.0
2024-07-18,-340648502500.0
2024-07-19,-103180387500.0
2024-07-22,-30325227000.0
2024-07-23,-140772269000.0
2024-07-24,22796605500.0
2024-07-25,-713316148100.0
2024-07-26,-288690091800.0
2024-07-29,170846349200.0
2024-07-30,-102368477200.0
2024-07-31,27126924200.0
2024-08-01,-1238298200.0
2024-08-02,-369874081200.0
2024-08-05,-229488616000.0
2024-08-06,-28905857400.0
2024-08-07,3569098100.0
2024-08-08,-11497400500.0
2024-08-09,166984705200.0
2024-08-12,80239775800.0
2024-08-13,93058367400.0
2024-08-14,38127074900.0
2024-08-16,391240724600.0
2024-08-19,-22735440500.0
2024-08-20,156216313000.0
2024-08-21,-134040258100.0
2024-08-22,15654950300.0
2024-08-23,-245869474000.0
2024-08-26,-203653361300.0
2024-08-27,-222612367600.0
2024-08-28,-184097687500.0
2024-08-29,-132978763400.0
2024-08-30,-45122295100.0
2024-09-02,64087919400.0
2024-09-03,-39458035300.0
2024-09-04,-341913843100.0
2024-09-05,56257558000.0
2024-09-06,-69781838900.0
2024-09-09,-161012861000.0
2024-09-10,-99750373100.0
2024-09-11,-32931912900.0
2024-09-12,247688862000.0
2024-09-13,-255848200800.0
2024-09-19,-361716763400.0
2024-09-20,157265408800.0
2024-09-23,7357090400.0
2024-09-24,-40395335000.0
2024-09-25,51574893400.0
2024-09-26,485415177200.0
2024-09-27,427364793700.0
2024-09-30,8826324100.0
2024-10-02,-57098524700.0
2024-10-04,49237262500.0
2024-10-07,204947868200.0
2024-10-08,-103775690000.0
2024-10-10,161998492400.0
2024-10-11,32538035900.0
2024-10-14,43071875000.0
2024-10-15,203636781700.0
2024-10-16,-68220080100.0
2024-10-17,17935246200.0
2024-10-18,-160116766300.0
2024-10-21,73768024600.0
2024-10-22,7277017300.0
2024-10-23,172104010500.0
2024-10-24,173865360200.0
2024-10-25,30653645800.0
2024-10-28,-91069862300.0
2024-10-29,-64273970700.0
2024-10-30,119521335300.0
2024-10-31,-93197452700.0
2024-11-01,11890805800.0
2024-11-04,81762600500.0
2024-11-05,46597120400.0
2024-11-06,108743586200.0
2024-11-07,77512985800.0
2024-11-08,143361082300.0
2024-11-11,-11391556600.0
2024-11-12,27941568000.0
2024-11-13,-48893653700.0
2024-11-14,-179489142900.0
2024-11-15,-3233285100.0
2024-11-18,-108707117500.0
